lamb,ins,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
1,1,50,5,15.39,0,3.43,0,3.26,0,0,0,4.04,0,0,0
1,2,50,10,358.82,0,0.19,0,0.22,0,0,0,0.17,0,0,0
1,3,50,10,4.01,0,0.09,0,0.07,0,0,0,0.12,0,0,0
1,4,50,20,4.76,0,0.1,0,0.11,0,0,0,0.09,0,0,0
1,5,50,33,1.57,0,0.03,0,0.04,0,0,0,0.02,0,0,0
1,6,100,5,7200,27.43,2619.28,0,2821.86,0,0,0,1458.06,0,0,0
1,7,100,10,244.78,0,2.54,0,35.56,0,0,0,27.2,0,0,0
1,8,100,20,2986.73,0,0.64,0,2.44,0,0,0,0.41,0,0,0
1,9,100,40,193.75,0,0.28,0,0.27,0,0,0,0.27,0,0,0
1,10,100,67,16.85,0,0.68,0,0.46,0,0,0,0.48,0,0,0
1,11,150,5,7200,45.21,7200,17.09,7200,13.65,0,0,7200,17.94,0,0
1,12,150,10,1319.58,0,458.45,0,17.3,0,0,0,741.84,0,0,0
1,13,150,30,430.42,0,1.31,0,1.33,0,0,0,1.36,0,0,0
1,14,150,60,1183.1,0,3.48,0,1.65,0,0,0,1.8,0,0,0
1,15,150,100,11.85,0,0.83,0,0.85,0,0,0,0.85,0,0,0
1,16,200,5,7200,69.12,7200,2.22,2610.85,0,0,0,7200,6.38,0,0
1,17,200,10,7200,67.86,7200,15,7200,19.05,0,0,7200,15,0,0
1,18,200,40,5825.42,0,7.27,0,4.65,0,0,0,9.54,0,0,0
1,19,200,80,4058.15,0,6.2,0,2.53,0,0,0,14.52,0,0,0
1,20,200,133,16.1,0,1.98,0,1.96,0,0,0,1.88,0,0,0
2,1,50,5,80.28,0,9.47,0,3.74,0,3,3,3.88,0,3,3
2,2,50,10,2958.51,0,25.23,0,13.87,0,7,3,9.74,0,10,3
2,3,50,10,1873.82,0,334.09,0,10.51,0,5,2,14.49,0,6,3
2,4,50,20,1855.01,0,13.97,0,9.4,0,9,3,6.07,0,7,3
2,5,50,33,50.56,0,6.54,0,4.1,0,4,3,4.43,0,5,3
2,6,100,5,7200,31.1,1855.05,0,775,0,4,3,1447.43,0,7,3
2,7,100,10,5506.56,0,2000.38,0,1461.13,0,4,3,1148.85,0,6,3
2,8,100,20,7200,34.88,1119.72,0,1841.51,0,5,3,1839.9,0,4,3
2,9,100,40,533.25,0,134.4,0,116.45,0,3,2,1490.04,0,4,2
2,10,100,67,5727.19,0,1876.98,0,1491.46,0,4,3,1841.36,0,5,3
2,11,150,5,7200,40.65,4470.89,0,2127.43,0,5,3,5194.58,0,4,3
2,12,150,10,7200,22.32,1321.36,0,1054.09,0,6,3,1507.93,0,7,3
