lamb,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
1,20,5,4.078,0,0.17,0,0.17,0,0,0,0.176,0,0,0
1,20,6,1.282,0,0.206,0,0.324,0,0,0,0.372,0,0,0
1,20,10,0.734,0,0.012,0,0.028,0,0,0,0.018000000000000002,0,0,0
1,30,7,459.046,0,68.414,0,2.358,0,0,0,34.752,0,0,0
1,30,10,10.39,0,0.666,0,1.079,0,0,0,0.593,0,0,0
1,30,15,7.782,0,0.05,0,0.123,0,0,0,0.101,0,0,0
1,40,10,1158.646,0,139.046,0,41.321,0,0,0,74.87,0,0,0
1,40,13,322.78000000000003,0,66.33,0,1,0,0,0,3.376,0,0,0
1,40,20,116.048,0,0.062,0,0.121,0,0,0,0.098,0,0,0
1,50,12,3038.328,1.7119999999999997,100.37,0,7.66,0,0,0,39.6,0,0,0
1,50,16,326.268,0,0.884,0,0.823,0,0,0,1.043,0,0,0
1,50,25,200.714,0,0.052,0,0.128,0,0,0,0.093,0,0,0
1,100,25,7200,48.314,1305.24,0,1419.7730000000001,0,0,0,2445.631,0.066,0,0
1,100,33,3521.246,9.751999999999999,20.162,0,32.537,0,0,0,20.892,0,0,0
1,100,50,1832.386,0,0.756,0,0.665,0,0,0,0.768,0,0,0
1,140,35,7200,49.382,1115.58,0,289.936,0,0,0,878.644,0,0,0
1,140,46,7200,41.07,2.8,0,1.726,0,0,0,5.289,0,0,0
1,140,70,6764.966,7.662,1.62,0,2.4050000000000002,0,0,0,1.159,0,0,0
1,180,45,7200,57.326,1681.782,0.496,2938.036,0.618,0,0,2226.423,0.294,0,0
1,180,60,7200,41.936,27.254,0,13.809999999999999,0,0,0,19.238,0,0,0
1,180,90,7200,27.748,3.7199999999999998,0,3.06,0,0,0,2.534,0,0,0
1,200,50,7200,100,4394.426,6.021999999999999,4472.144,5.75,0,0,4082.479,0,0,0
1,200,66,7200,88.574,229.27800000000002,0,480.874,0,0,0,298.668,0,0,0
1,200,100,7200,60.004,3.698,0,69.647,0,0,0,4.578,0,0,0
2,20,5,6.367999999999999,0,0.21,0,0.192,0,4.2,3,0.198,0,4.2,3
2,20,6,75.442,0,0.328,0,0.37,0,5,3,0.331,0,4.4,2.8
2,20,10,17.246,0,0.54,0,0.532,0,5,2.9,0.459,0,4.6,3
